Körzet;Fidesz;Tisza;DK-MSZP-Párbeszéd;Momentum;MKKP;Mi Hazánk;Független;Győztes;Különbség
Pest 03;34.44;48.05;3.54;3.99;4.86;4.17;0.95;Tisza;13.61
Pest 04;37.88;45.32;4.24;3.28;3.33;4.99;0.98;Tisza;7.44
Pest 05;30.56;51.73;4.68;3.95;4.02;4.13;0.94;Tisza;21.17
Pest 06;31.31;52.28;4.14;3.2;3.25;4.87;0.95;Tisza;20.97
Pest 07;39.91;41.28;4.81;3.25;4.13;5.66;0.97;Tisza;1.37
Pest 08;33.71;48.66;5.33;3.2;3.25;4.88;0.96;Tisza;14.96
Pest 09;39.58;44.28;3.67;2.48;2.52;6.48;0.99;Tisza;4.69
Pest 10;30.43;51.95;4.12;2.39;3.23;6.93;0.95;Tisza;21.52
Pest 11;38.97;44.92;3.64;2.46;3.33;5.71;0.98;Tisza;5.95
Pest 12;45.96;38.92;3.8;1.71;2.61;5.97;1.02;Fidesz;7.04
Pest 13;44.95;39.99;3.79;1.71;2.6;5.94;1.02;Fidesz;4.96
Pest 14;43.22;42.19;3.67;1.65;2.52;5.76;0.99;Fidesz;1.02
Somogy 01;37.73;46.33;5.98;1.62;2.46;4.93;0.96;Tisza;8.6
Somogy 02;50.29;36.48;4.42;0.85;1.74;5.2;1.02;Fidesz;13.81
Somogy 03;48.08;38.05;4.36;1.68;1.71;5.12;1.0;Fidesz;10.03
Somogy 04;42.9;42.06;4.88;1.65;2.51;5.02;0.98;Fidesz;0.84
Szabolcs-Szatmár-Bereg 01;30.29;54.45;5.69;2.31;2.34;4.01;0.92;Tisza;24.16
Szabolcs-Szatmár-Bereg 02;42.77;43.79;4.22;1.63;1.66;4.97;0.97;Tisza;1.02
Szabolcs-Szatmár-Bereg 03;48.81;39.0;3.67;0.83;1.68;5.03;0.99;Fidesz;9.81
Szabolcs-Szatmár-Bereg 04;57.18;33.35;3.11;0.84;0.86;3.66;1.0;Fidesz;23.83
Szabolcs-Szatmár-Bereg 05;56.7;32.23;3.15;0.85;0.87;5.19;1.02;Fidesz;24.47
Szabolcs-Szatmár-Bereg 06;52.43;36.03;3.73;0.84;0.85;5.12;1.0;Fidesz;16.4
Tolna 01;43.81;40.26;4.93;1.67;2.54;5.8;0.99;Fidesz;3.55
Tolna 02;49.77;35.31;4.45;1.72;1.75;5.98;1.02;Fidesz;14.46
Tolna 03;47.06;38.18;3.71;1.67;2.55;5.83;1.0;Fidesz;8.88
Vas 01;36.72;47.07;6.0;3.24;2.47;3.53;0.97;Tisza;10.34
Vas 02;48.45;38.22;3.72;1.68;2.55;4.38;1.0;Fidesz;10.24
Vas 03;52.36;34.1;3.12;1.69;2.57;5.15;1.01;Fidesz;18.26
Veszprém 01;35.71;47.8;4.82;2.44;3.31;4.96;0.97;Tisza;12.09
Veszprém 02;37.02;46.49;4.82;2.44;3.31;4.96;0.97;Tisza;9.47
Veszprém 03;41.08;42.25;5.55;2.5;2.54;5.08;0.99;Tisza;1.17
Veszprém 04;47.74;36.93;4.97;1.68;2.56;5.12;1.0;Fidesz;10.81
Zala 01;44.31;41.87;3.63;2.45;2.49;4.27;0.98;Fidesz;2.44
Zala 02;45.9;40.27;3.66;1.65;2.51;5.02;0.98;Fidesz;5.63
Zala 03;40.95;43.44;5.48;2.47;1.67;5.01;0.98;Tisza;2.49
